"Meaning";"Reading";Context Sentence JP;Context Sentence EN;"JLPT (by voc lvl)";"Item";"Joyo Grade"
"One";"いち";"一ど、あいましょう。";"Let’s meet up once.";"N5";"一";"一: 1"
"One";"いち";"一いはアメリカ人でした。";"First place was an American.";"N5";"一";"一: 1"
"One";"いち";"ぼくはせかいで一ばんよわい。";"I’m the weakest (person) in the world.";"N5";"一";"一: 1"
"One Thing";"ひとつ";"こたえを一つえらびます。";"Choose one answer.";"N5";"一つ";"一: 1"
"One Thing";"ひとつ";"お一人さま一つかぎりです。";"It's limited to one per customer.";"N5";"一つ";"一: 1"
"One Thing";"ひとつ";"きのう、一つめこぞうにあった。";"I met a one-eyed goblin yesterday.";"N5";"一つ";"一: 1"
"Seven";"なな, しち";"あしたのあさ、七じにえきであいませんか。";"Why don’t we meet at the station at seven tomorrow morning?";"N3";"七";"七: 1"
"Seven";"なな, しち";"みかんが七こあります。";"There are seven mandarin oranges.";"N3";"七";"七: 1"
"Seven";"なな, しち";"七にんのこびととともだちになりたい。";"I want to be friends with the seven dwarves.";"N3";"七";"七: 1"
"Seven Things";"ななつ";"はこのなかにりんごが七つあります。";"There are seven apples in a box.";"N5";"七つ";"七: 1"
"Seven Things";"ななつ";"二人でメロンを七つたべました。";"Just the two of us ate seven melons.";"N5";"七つ";"七: 1"
"Seven Things";"ななつ";"七つかぞえると、わたしは女になる。";"After I count to seven, I will be a woman.";"N5";"七つ";"七: 1"
"Nine";"きゅう, く";"まいにち九じかんぐらいべんきょうします。";"I study for about nine hours every day.";"N3";"九";"九: 1"
"Nine";"きゅう, く";"九ページをひらいてください。";"Please open to page 9.";"N3";"九";"九: 1"
"Nine";"きゅう, く";"九羽の九官鳥をかっていました。";"I used to have nine mynah birds.";"N3";"九";"九: 1"
"Nine Things";"ここのつ";"きょうのテストには、じしょをつかうもんだいが九つあります。";"There are nine questions that require a dictionary on today’s test.";"N5";"九つ";"九: 1"
"Nine Things";"ここのつ";"ねこには九つのいのちがあるってほんとう？";"Is it true that a cat has nine lives?";"N5";"九つ";"九: 1"
"Nine Things";"ここのつ";"ドーナツを九つつくった。";"I made nine donuts.";"N5";"九つ";"九: 1"
"Two";"に";"二十一ページの二ばんはクラスでします。";"We will work on question two on page twenty-one in class.";"N5";"二";"二: 1"
"Two";"に";"わたしのこどもは二さいです。";"My child is 2 years old.";"N5";"二";"二: 1"
"Two";"に";"わたしのおじは、ねこを二ひきかっています。";"My uncle has two cats.";"N5";"二";"二: 1"
"Two Things";"ふたつ";"二つのかいわです。";"It’s two dialogues.";"N5";"二つ";"二: 1"
"Two Things";"ふたつ";"このカゴにリンゴを二つ入れてください。";"Please put two apples in this basket.";"N5";"二つ";"二: 1"
"Two Things";"ふたつ";"かれの二つめのあくぎょうは、かえるのあんさつだった。";"His second evil deed was the frog’s assassination.";"N5";"二つ";"二: 1"
"Person";"ひと";"やじるしの人はなんといいますか。";"What will the person the arrow is pointing at say?";"N1";"人";"人: 1"
"Person";"ひと";"あの人はどこの人ですか？";"Where is that person from?";"N1";"人";"人: 1"
"Person";"ひと";"人びとは、かれをばかな人だという。";"People say he's a stupid person.";"N1";"人";"人: 1"
"Two People, Pair, Couple, Two Persons";"ふたり";"DVDを、あねと二人でみています。";"I am watching a DVD with my older sister.";"N1";"二人";"二: 1, 人: 1"
"Two People, Pair, Couple, Two Persons";"ふたり";"あの二人はいつも二人でくみたがる。";"Those two want to be a couple all the time.";"N1";"二人";"二: 1, 人: 1"
"Two People, Pair, Couple, Two Persons";"ふたり";"かのじょは二人ごろしでたいほされた。";"She was arrested for double murder.";"N1";"二人";"二: 1, 人: 1"
"Alone, One Person";"ひとり";"一人でカラオケにいきました。";"I went to karaoke alone.";"N1";"一人";"一: 1, 人: 1"
"Alone, One Person";"ひとり";"一人はアメリカ人です。";"One of them is American.";"N1";"一人";"一: 1, 人: 1"
"Alone, One Person";"ひとり";"むすめは、きょうはじめて一人でおつかいにいきました。";"My daughter did the errands by herself for the first time today.";"N1";"一人";"一: 1, 人: 1"
"American Person";"あめりかじん, アメリカじん";"おれはアメリカ人か？";"Am I American?";"None";"アメリカ人";"人: 1"
"American Person";"あめりかじん, アメリカじん";"アメリカ人が二人います。";"There are two American people.";"None";"アメリカ人";"人: 1"
"American Person";"あめりかじん, アメリカじん";"アメリカ人の女とともだちになった。";"I made friends with an American girl.";"None";"アメリカ人";"人: 1"
"French Person, Frenchman";"ふらんすじん, フランスじん";"フランス人のゆうじんができました。";"I made a French friend.";"None";"フランス人";"人: 1"
"French Person, Frenchman";"ふらんすじん, フランスじん";"二人はアメリカ人で、あとの三人はフランス人です。";"Two of them are American and the other three are French.";"None";"フランス人";"人: 1"
"French Person, Frenchman";"ふらんすじん, フランスじん";"とてもセクシーなフランス人シェフにあった。";"I met a very sexy French chef.";"None";"フランス人";"人: 1"
"To Enter, To Go In";"はいる";"プールに入るまえに、じゅんびうんどうをしてください。";"Please stretch before getting in the pool.";"N1";"入る";"入: 1"
"To Enter, To Go In";"はいる";"ちゃんと入り口から入ってください。";"Please enter from the entrance.";"N1";"入る";"入: 1"
"To Enter, To Go In";"はいる";"へやに入って、いっしょにまゆげをかこうよ！";"Let’s go in the room and draw our eyebrows on!";"N1";"入る";"入: 1"
"To Insert, To Put In";"いれる";"しかくになにを入れますか。";"What will you put in the square?";"N5";"入れる";"入: 1"
"To Insert, To Put In";"いれる";"ここにおりがみを十二まい入れてください。";"Please insert twelve pieces of origami paper here.";"N5";"入れる";"入: 1"
"To Insert, To Put In";"いれる";"わたしはハンバーガーをひつぎに入れた。";"I put a hamburger into the coffin.";"N5";"入れる";"入: 1"
"Eight";"はち";"がくせいは、きょううちで、八ページをべんきょうします。";"Students will study page eight at home today.";"N5";"八";"八: 1"
"Eight";"はち";"あめを八こカバンに入れました。";"I put eight candies in my purse.";"N5";"八";"八: 1"
"Eight";"はち";"八じ？ほんとうに、八じ？";"Eight o’clock? Are you sure it’s eight o’clock?";"N5";"八";"八: 1"
"Eight Things";"やっつ";"ふくろには、じゃがいもが八つ入っています。";"There are eight potatoes in the bag.";"N5";"八つ";"八: 1"
"Eight Things";"やっつ";"八つしかありませんよ。";"There are only eight of them.";"N5";"八つ";"八: 1"
"Eight Things";"やっつ";"八つのかおと六つのうでがあるもの、なーんだ。";"What has eight faces and six arms?";"N5";"八つ";"八: 1"
"Power, Strength, Ability";"ちから";"おなかがすいて、力がでない。";"I’m hungry and losing strength.";"N4";"力";"力: 1"
"Power, Strength, Ability";"ちから";"あのアメリカ人の女にはふじ山をうごかす力がある。";"That American woman has the power to move Mt. Fuji.";"N4";"力";"力: 1"
"Power, Strength, Ability";"ちから";"おかあさんは、のこりのかぞくがたばになってもかなわない力をもっている。";"My mom is more powerful than the rest of my family put together.";"N4";"力";"力: 1"
"Ten";"じゅう";"わたしは、ツバメを十わかっています。";"I have ten swallows.";"N3";"十";"十: 1"
"Ten";"じゅう";"十までかぞえることができますよ。";"I can count up to ten!";"N3";"十";"十: 1"
"Ten";"じゅう";"十ねんかん十にんのじゅうにんとくらした。";"For ten years I lived with ten other people.";"N3";"十";"十: 1"
"Three";"さん";"このもんだいようしは、ぜんぶで三ページあります。";"There are three pages of these questions total.";"N1";"三";"三: 1"
"Three";"さん";"わたしは三十二さいです。";"I’m 32 years old.";"N1";"三";"三: 1"
"Three";"さん";"三かいまわってワンとほえろ。";"Turn around three times and bark!";"N1";"三";"三: 1"
"Three Things";"みっつ";"三つのせんたくしがおんせいできこえます。";"You will hear three choices.";"N5";"三つ";"三: 1"
"Three Things";"みっつ";"ここにボールを三つ入れてください。";"Please put three balls in here.";"N5";"三つ";"三: 1"
"Three Things";"みっつ";"三つもかにかまれた。";"I got three mosquito bites.";"N5";"三つ";"三: 1"
"Three People, Three Persons";"さんにん";"わたしには、きょうだいが三人います。";"I have three siblings.";"None";"三人";"三: 1, 人: 1"
"Three People, Three Persons";"さんにん";"その川には二、三人しかいませんでした。";"There were only two or three people in the river.";"None";"三人";"三: 1, 人: 1"
"Three People, Three Persons";"さんにん";"三人のうちで、だれがいちばんタイプ？";"Out of those three people, which one is your type?";"None";"三人";"三: 1, 人: 1"
"Above, Up, Over";"うえ";"上のひょうをみてください。";"Please look at the chart above.";"N3";"上";"上: 1"
"Above, Up, Over";"うえ";"このフロアの三かい上にトーフグのオフィスがあります。";"The Tofugu office is three floors up.";"N3";"上";"上: 1"
"Above, Up, Over";"うえ";"くつ下のかたほうは、かいだんの上にあったわよ。";"One of your socks was at the top of the stairs.";"N3";"上";"上: 1"
"To Lift Something, To Raise Something, To Increase Something";"あげる";"このはこをれいぞうこの上に上げてください。";"Please put this box on top of the refrigerator for me.";"N5";"上げる";"上: 1"
"To Lift Something, To Raise Something, To Increase Something";"あげる";"三センチ上げてください。";"Please lift it three centimeters.";"N5";"上げる";"上: 1"
"To Lift Something, To Raise Something, To Increase Something";"あげる";"りょうてを上に上げて、大きくおならをした。";"I raised my hands and let out a huge fart.";"N5";"上げる";"上: 1"
"To Go Up, To Rise, To Be Raised, To Stop";"あがる";"どんどんねつが上がっています。";"My fever is rising steadily.";"N1";"上がる";"上: 1"
"To Go Up, To Rise, To Be Raised, To Stop";"あがる";"三かいまでエレベーターで上がりましょう。";"Let's go up to the 3rd floor using the elevator.";"N1";"上がる";"上: 1"
"To Go Up, To Rise, To Be Raised, To Stop";"あがる";"けむりが上がってる。";"Smoke is rising. ";"N1";"上がる";"上: 1"
"To Climb, To Go Up";"のぼる";"わたしがやねに上りましょう。";"I can go up to the roof.";"N2";"上る";"上: 1"
"To Climb, To Go Up";"のぼる";"十かいまでかいだんを上った。";"I climbed up stairs to the 10th floor.";"N2";"上る";"上: 1"
"To Climb, To Go Up";"のぼる";"サケが川を上っているのをみた。";"I saw a salmon swimming upstream.";"N2";"上る";"上: 1"
"Below, Under, Beneath, Down";"した";"つくえの下にはなにがありますか。 ";"What’s under the desk?";"N3";"下";"下: 1"
"Below, Under, Beneath, Down";"した";"下に下りてきてください。";"Please come down.";"N3";"下";"下: 1"
"Below, Under, Beneath, Down";"した";"ぼくはトーフグオフィスの下のかいにすんでいる。";"I live on the floor below the Tofugu office.";"N3";"下";"下: 1"
"To Get Lower, To Fall, To Drop, To Come Down, To Hang Down";"さがる";"せかいじゅうのかぶかが下がった。";"Stock prices all over the world fell.";"N1";"下がる";"下: 1"
"To Get Lower, To Fall, To Drop, To Come Down, To Hang Down";"さがる";"ねつが三十七どに下がりました。";"My temperature dropped to 37℃.";"N1";"下がる";"下: 1"
"To Get Lower, To Fall, To Drop, To Come Down, To Hang Down";"さがる";"ズボンが下がるようにベルトをゆるめなさい。";"Unfasten your belt so that your pants will hang down.";"N1";"下がる";"下: 1"
"To Lower Something, To Hang Something";"さげる";"けつあつを下げるほうほうをおしえてください。";"Please tell me how to lower my blood pressure.";"N4";"下げる";"下: 1"
"To Lower Something, To Hang Something";"さげる";"あのみせは、入り口にふうりんを一つ下げています。";"That shop has one wind chime hanging in its entrance.";"N4";"下げる";"下: 1"
"To Lower Something, To Hang Something";"さげる";"きおんを下げるために、あまごいダンスをおどってみた。";"I tried performing a rain dance to lower the temperature.";"N4";"下げる";"下: 1"
"Please Give Me, Please";"ください";"それを下さい。";"Please give me that one.";"None";"下さい";"下: 1"
"Please Give Me, Please";"ください";"りんごを二こ下さい。";"Please give me two apples.";"None";"下さい";"下: 1"
